seed,arena,arena_label,temporality,ontology
11,NYT,New York Times (public news),0.00014583050178070976,-0.09432196370332413
11,WSJ,Wall Street Journal (business news),0.0013411801731538012,-0.08325885459154297
11,arxiv,arXiv (academic),0.000656572573373304,-0.07774543700711349
22,NYT,New York Times (public news),0.00014583050178070976,-0.09610845730485493
22,WSJ,Wall Street Journal (business news),0.0013411801731538012,-0.08350953557456836
22,arxiv,arXiv (academic),0.0,-0.07602691840399617
33,NYT,New York Times (public news),0.00014583050178070976,-0.09437488507431424
33,WSJ,Wall Street Journal (business news),0.0013411801731538012,-0.0832917614148594
33,arxiv,arXiv (academic),0.0,-0.07293147009489191
44,NYT,New York Times (public news),0.00014583050178070976,-0.09391053134852394
44,WSJ,Wall Street Journal (business news),0.0013411801731538012,-0.08458748783577942
44,arxiv,arXiv (academic),0.0008325427090483283,-0.07275747455152866
55,NYT,New York Times (public news),0.00014583050178070976,-0.09462874286369262
55,WSJ,Wall Street Journal (business news),0.0013411801731538012,-0.08420330712716494
55,arxiv,arXiv (academic),0.0,-0.07718032098095587
