seed,arena,arena_label,target,anchor_past,anchor_present,anchor_future,anchor_machine,anchor_beyond,temporality,ontology
11,NYT,New York Times (public news),algorithm,0.0,0.0,0.0,0.22200126215646054,0.007369079228095717,0.0,-0.21463218292836483
11,NYT,New York Times (public news),control,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,NYT,New York Times (public news),decision,0.015880840842927544,0.0,0.0,0.03306276967518176,0.0,-0.015880840842927544,-0.03306276967518176
11,NYT,New York Times (public news),generation,0.0,0.0,0.0,0.02810636184123435,0.0,0.0,-0.02810636184123435
11,NYT,New York Times (public news),intelligence,0.0,0.0,0.0,0.08042759169523395,0.0,0.0,-0.08042759169523395
11,NYT,New York Times (public news),learning,0.0,0.0,0.0,0.107336215095155,0.0,0.0,-0.107336215095155
11,NYT,New York Times (public news),model,0.0,0.0,0.0,0.2784014721359572,0.007650055371724491,0.0,-0.2707514167642327
11,NYT,New York Times (public news),network,0.0,0.0,0.0,0.2770294592318811,0.01944220535596763,0.0,-0.25758725387591347
11,NYT,New York Times (public news),risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,NYT,New York Times (public news),safety,0.0,0.0,0.01777663736607677,0.02080371066167057,0.0,0.01777663736607677,-0.02080371066167057
11,NYT,New York Times (public news),system,0.0,0.0,0.0,0.20804155555919762,0.0,0.0,-0.20804155555919762
11,NYT,New York Times (public news),training,0.0,0.0,0.0,0.02084599827154541,0.0,0.0,-0.02084599827154541
11,NYT,New York Times (public news),understanding,0.0,0.0,0.0,0.0,0.01540952822451597,0.0,0.01540952822451597
11,WSJ,Wall Street Journal (business news),algorithm,0.0,0.0,0.0,0.27647234419254163,0.0,0.0,-0.27647234419254163
11,WSJ,Wall Street Journal (business news),control,0.0,0.0,0.0,0.012039749356133651,0.0,0.0,-0.012039749356133651
11,WSJ,Wall Street Journal (business news),decision,0.0,0.0,0.0,0.02837760901751704,0.012382777303891907,0.0,-0.015994831713625132
11,WSJ,Wall Street Journal (business news),generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,WSJ,Wall Street Journal (business news),intelligence,0.0,0.0,0.0,0.04997580072005819,0.0,0.0,-0.04997580072005819
11,WSJ,Wall Street Journal (business news),learning,0.0,0.0,0.0,0.05950558434073315,0.0,0.0,-0.05950558434073315
11,WSJ,Wall Street Journal (business news),model,0.0,0.0,0.0,0.249136653984623,0.0,0.0,-0.249136653984623
11,WSJ,Wall Street Journal (business news),network,0.0,0.0,0.0,0.191480673360206,0.0,0.0,-0.191480673360206
11,WSJ,Wall Street Journal (business news),risk,0.0,0.0,0.008685914244380288,0.0,0.0,0.008685914244380288,0.0
11,WSJ,Wall Street Journal (business news),safety,0.0,0.0,0.0,0.03845599610323058,0.01681272749526181,0.0,-0.021643268607968773
11,WSJ,Wall Street Journal (business news),system,0.0,0.0,0.0,0.177498846206214,0.0,0.0,-0.177498846206214
11,WSJ,Wall Street Journal (business news),training,0.0,0.0,0.008749428006619129,0.03726609413525072,0.0,0.008749428006619129,-0.03726609413525072
11,WSJ,Wall Street Journal (business news),understanding,0.0,0.0,0.0,0.0,0.008648736927295533,0.0,0.008648736927295533
11,arxiv,arXiv (academic),algorithm,0.0,0.0,0.0,0.12099458689490117,0.0,0.0,-0.12099458689490117
11,arxiv,arXiv (academic),control,0.0,0.0,0.0,0.07081181803262455,0.0,0.0,-0.07081181803262455
11,arxiv,arXiv (academic),decision,0.0,0.0,0.008535443453852952,0.04481895233833248,0.008553945776350163,0.008535443453852952,-0.03626500656198232
11,arxiv,arXiv (academic),generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,arxiv,arXiv (academic),intelligence,0.0,0.0,0.0,0.03606986542992167,0.007828088903334078,0.0,-0.02824177652658759
11,arxiv,arXiv (academic),learning,0.0,0.0,0.0,0.09869106367686256,0.0,0.0,-0.09869106367686256
11,arxiv,arXiv (academic),model,0.0,0.0,0.0,0.2629969593988632,0.0,0.0,-0.2629969593988632
11,arxiv,arXiv (academic),network,0.0,0.0,0.0,0.18156898859328968,0.0,0.0,-0.18156898859328968
11,arxiv,arXiv (academic),risk,0.0,0.0,0.0,0.01123699382371567,0.0,0.0,-0.01123699382371567
11,arxiv,arXiv (academic),safety,0.0,0.0,0.0,0.01928543361836089,0.012886225346759343,0.0,-0.0063992082716015485
11,arxiv,arXiv (academic),system,0.0,0.0,0.0,0.17431592796863538,0.0,0.0,-0.17431592796863538
11,arxiv,arXiv (academic),training,0.0,0.0,0.0,0.01916835134341184,0.0,0.0,-0.01916835134341184
11,arxiv,arXiv (academic),understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NYT,New York Times (public news),algorithm,0.0,0.0,0.0,0.22200126215646054,0.007369079228095717,0.0,-0.21463218292836483
22,NYT,New York Times (public news),control,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NYT,New York Times (public news),decision,0.015880840842927544,0.0,0.0,0.03306276967518176,0.0,-0.015880840842927544,-0.03306276967518176
22,NYT,New York Times (public news),generation,0.0,0.0,0.0,0.02810636184123435,0.0,0.0,-0.02810636184123435
22,NYT,New York Times (public news),intelligence,0.0,0.0,0.0,0.10720382960808131,0.0,0.0,-0.10720382960808131
22,NYT,New York Times (public news),learning,0.0,0.0,0.0,0.08617107827231939,0.0,0.0,-0.08617107827231939
22,NYT,New York Times (public news),model,0.0,0.0,0.0,0.26982813095328756,0.00677833338779902,0.0,-0.2630497975654885
22,NYT,New York Times (public news),network,0.0,0.0,0.0,0.28325698573184505,0.020841289060592107,0.0,-0.2624156966712529
22,NYT,New York Times (public news),risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NYT,New York Times (public news),safety,0.0,0.0,0.01777663736607677,0.02080371066167057,0.0,0.01777663736607677,-0.02080371066167057
22,NYT,New York Times (public news),system,0.0,0.0,0.0,0.2285280476924909,0.0,0.0,-0.2285280476924909
22,NYT,New York Times (public news),training,0.0,0.0,0.0,0.02084599827154541,0.0,0.0,-0.02084599827154541
22,NYT,New York Times (public news),understanding,0.0,0.0,0.0,0.0,0.01540952822451597,0.0,0.01540952822451597
